IID,sex,fa,mo,fid,pca1,pca2,pca3,pca4,pca5
1101,1,0,0,1,-0.0316,0.046,-0.0139,0.031,-0.0167
1201,2,0,0,1,-0.0106,0.045,-0.0206,0.0206,-0.0228
1901,1,1101,1201,1,NA,NA,NA,NA,NA
2101,1,0,0,2,-0.0301,0.0391,-0.0083,0.0197,-0.0383
2201,2,0,0,2,-0.0252,0.0326,-0.0277,0.0272,-0.0239
2202,2,0,0,2,-0.0086,0.0272,-0.0277,0.0165,-0.0208
2302,1,2101,2201,2,-0.0274,0.0346,-0.0158,0.0254,-0.0311
2303,2,2101,2201,2,-0.0288,0.0368,-0.019,0.0235,-0.0339
2903,1,2101,2202,2,NA,NA,NA,NA,NA
4101,2,4501,4502,4,0.0096,0.017,-0.0095,0.0177,-0.0064
4201,1,0,0,4,NA,NA,NA,NA,NA
4301,2,4201,4101,4,0.0026,0.0108,-0.0072,0.0131,0.0087
4302,2,4201,4101,4,-0.008,0.0132,-0.0082,0.014,-0.003
4303,1,4201,4101,4,NA,NA,NA,NA,NA
4501,1,4922,4923,4,NA,NA,NA,NA,NA
4502,2,4921,4506,4,-0.0322,0.0393,-0.0183,0.0267,-0.0149
4506,2,0,0,4,-0.0163,0.037,-0.0267,0.0343,-0.0228
4601,2,4501,4502,4,0.0138,0.0105,-0.0101,0.0154,-0.0022
4801,2,4921,4506,4,NA,NA,NA,NA,NA
4802,2,4921,4506,4,NA,NA,NA,NA,NA
4803,1,4921,4506,4,-0.0319,0.0389,-0.0213,0.0242,-0.0203
4806,1,4922,4923,4,0.0617,-0.0106,-0.0012,0.0064,5.00E-04
4901,2,4924,4911,4,NA,NA,NA,NA,NA
4902,2,4924,4911,4,NA,NA,NA,NA,NA
4903,1,4803,4910,4,-0.0349,0.0444,-0.0022,0.0158,-0.0146
4904,2,4806,4920,4,0.0214,7.00E-04,-0.006,0.0027,0.0061
4905,1,4806,4920,4,0.0224,-0.0085,-0.0059,-0.0012,0.0116
4906,2,4924,4911,4,NA,NA,NA,NA,NA
4907,1,4806,4920,4,NA,NA,NA,NA,NA
4908,2,4909,4801,4,-0.0083,0.029,-0.0211,0.0239,-0.0109
4909,1,0,0,4,NA,NA,NA,NA,NA
4910,2,4924,4911,4,-0.0377,0.0521,0.0194,0.0074,-0.0076
4911,2,0,0,4,-0.027,0.0368,-0.025,0.0289,-0.0254
4912,2,4924,4911,4,-0.0348,0.0504,0.0266,0.0038,-4.00E-04
4913,2,4924,4911,4,NA,NA,NA,NA,NA
4914,1,4926,4906,4,NA,NA,NA,NA,NA
4915,2,4925,4913,4,-0.0284,0.0285,0.0097,0.0077,-0.005
4916,2,4918,4908,4,-0.0185,0.0241,-0.0125,0.0208,-0.0168
4917,1,4918,4908,4,NA,NA,NA,NA,NA
4918,1,0,0,4,NA,NA,NA,NA,NA
4919,2,4806,4920,4,0.0118,-0.0044,-0.0102,-0.0025,0.0061
4920,2,0,0,4,NA,NA,NA,NA,NA
4921,1,0,0,4,NA,NA,NA,NA,NA
4922,1,0,0,4,NA,NA,NA,NA,NA
4923,2,0,0,4,NA,NA,NA,NA,NA
4924,1,0,0,4,NA,NA,NA,NA,NA
4925,1,0,0,4,NA,NA,NA,NA,NA
4926,1,0,0,4,NA,NA,NA,NA,NA
5101,2,5924,47604,5,NA,NA,NA,NA,NA
5201,1,0,0,5,NA,NA,NA,NA,NA
